Date,Price
21/08/2022,5550
22/08/2022,5550
23/08/2022,5550
24/08/2022,5550
25/08/2022,5550
26/08/2022,5550
29/08/2022,5550
30/08/2022,5550
31/08/2022,5550
01/09/2022,5550
02/09/2022,5550
03/09/2022,5550
05/09/2022,5550
06/09/2022,5550
07/09/2022,5550
08/09/2022,5550
09/09/2022,5550
10/09/2022,5550
11/09/2022,5550
12/09/2022,5550
13/09/2022,5550
14/09/2022,5550
15/09/2022,5550
16/09/2022,5550
17/09/2022,5550
18/09/2022,5550
19/09/2022,5550
20/09/2022,5550
21/09/2022,5550
22/09/2022,5550
23/09/2022,5550
24/09/2022,5550
25/09/2022,5550
26/09/2022,5550
27/09/2022,5550
28/09/2022,5550
29/09/2022,5550
30/09/2022,5550
01/10/2022,5550
02/10/2022,5550
03/10/2022,5550
04/10/2022,5600
05/10/2022,5600
06/10/2022,5600
07/10/2022,5600
08/10/2022,5600
09/10/2022,5600
10/10/2022,5600
11/10/2022,5600
12/10/2022,5600
13/10/2022,5600
14/10/2022,5600
15/10/2022,5600
16/10/2022,5600
17/10/2022,5600
18/10/2022,5600
19/10/2022,5600
20/10/2022,5600
21/10/2022,5600
22/10/2022,5600
23/10/2022,5600
24/10/2022,5600
25/10/2022,5950
26/10/2022,6100
27/10/2022,6350
28/10/2022,6350
29/10/2022,6350
30/10/2022,6350
31/10/2022,6350
01/11/2022,6350
02/11/2022,6350
03/11/2022,6350
04/11/2022,6450
05/11/2022,6450
06/11/2022,6450
07/11/2022,6450
08/11/2022,6450
09/11/2022,6450
10/11/2022,6575
11/11/2022,6575
12/11/2022,6575
13/11/2022,6575
14/11/2022,6575
15/11/2022,6575
16/11/2022,6575
17/11/2022,6575
18/11/2022,6575
19/11/2022,6575
20/11/2022,6575
21/11/2022,6575
22/11/2022,6575
23/11/2022,6575
24/11/2022,6575
25/11/2022,6575
26/11/2022,6575
27/11/2022,6575
28/11/2022,6575
29/11/2022,6600
30/11/2022,6700
01/12/2022,6700
02/12/2022,6700
03/12/2022,6700
04/12/2022,6700
05/12/2022,6700
06/12/2022,6500
07/12/2022,6500
08/12/2022,6500
09/12/2022,6500
10/12/2022,6500
11/12/2022,6500
12/12/2022,6500
